"name","team_name","game_date","season","espn_player_id","team_id","espn_game_id","period","minutes_remaining","seconds_remaining","shot_made_flag","action_type","shot_type","shot_distance","opponent","x","y","dribbles","touch_time","defender_name","defender_distance","shot_clock"
"LeBron James","Cleveland Cavaliers","2015-12-20",2015,1966,1610612739,400828292,2,8,20,0,"Jump Shot","3PT Field Goal",25.4,"Philadelphia 76ers",-174,169,6,7.2,"Covington, Robert",4.7,3.7
"Channing Frye","Orlando Magic","2015-12-20",2015,2754,1610612753,400828294,3,11,46,1,"Jump Shot","3PT Field Goal",22.6,"Atlanta Hawks",233,46,0,0.6,"Millsap, Paul",4.1,13.2
"Kent Bazemore","Atlanta Hawks","2015-12-20",2015,6637,1610612737,400828294,4,5,54,1,"Jump Shot","3PT Field Goal",23,"Orlando Magic",233,41,0,0.8,"Harris, Tobias",10.5,2.6
"Channing Frye","Orlando Magic","2015-12-20",2015,2754,1610612753,400828294,1,8,37,1,"Jump Shot","3PT Field Goal",24.4,"Atlanta Hawks",89,224,0,0.7,"Korver, Kyle",4,11
"Eric Gordon","New Orleans Pelicans","2015-12-20",2015,3431,1610612740,400828296,3,11,9,1,"Jump Shot","3PT Field Goal",24.9,"Denver Nuggets",-151,219,1,1.6,"Faried, Kenneth",9,18.1
"OJ Mayo","Milwaukee Bucks","2015-12-20",2015,3450,1610612749,400828293,3,3,13,1,"Jump Shot","3PT Field Goal",25.5,"Phoenix Suns",156,200,0,1,"Morris, Markieff",5.4,18.1
"Mirza Teletovic","Phoenix Suns","2015-12-20",2015,4385,1610612756,400828293,2,8,56,0,"Jump Shot","3PT Field Goal",25.3,"Milwaukee Bucks",-228,120,0,0.8,"Ennis, Tyler",5.2,7.3
"Matthew Dellavedova","Cleveland Cavaliers","2015-12-20",2015,2489716,1610612739,400828292,3,1,52,1,"Jump Shot","3PT Field Goal",24,"Philadelphia 76ers",189,159,0,1.2,"Wroten, Tony",5.8,5.7
"Brandon Knight","Phoenix Suns","2015-12-20",2015,6448,1610612756,400828293,3,6,11,1,"Jump Shot","3PT Field Goal",23.1,"Milwaukee Bucks",232,-21,0,0,"Mayo, O.J.",0.3,15.6
"Al Horford","Atlanta Hawks","2015-11-01",2015,3213,1610612737,400827926,3,10,39,0,"Jump Shot","3PT Field Goal",24.4,"Charlotte Hornets",-73,233,0,0.9,"Jefferson, Al",6.8,12.8
"Jameer Nelson","Denver Nuggets","2015-12-20",2015,2439,1610612743,400828296,4,0,9,1,"Jump Shot","3PT Field Goal",25.9,"New Orleans Pelicans",138,198,5,4.2,"Gee, Alonzo",6,13
"Kyle Korver","Atlanta Hawks","2015-12-20",2015,2011,1610612737,400828294,4,0,43,1,"Jump Shot","3PT Field Goal",22.5,"Orlando Magic",-232,31,0,0.7,"Oladipo, Victor",5.9,4
"Brandon Knight","Phoenix Suns","2015-12-13",2015,6448,1610612756,400828240,4,3,13,1,"Jump Shot","3PT Field Goal",23.3,"Minnesota Timberwolves",191,165,1,0.6,"LaVine, Zach",8.1,10
"Joe Johnson","Brooklyn Nets","2015-12-20",2015,1007,1610612751,400828290,2,0,0,0,"Jump Shot","3PT Field Goal",29,"Minnesota Timberwolves",-6,291,19,13.9,"Prince, Tayshaun",2.4,4.8
"Gary Harris","Denver Nuggets","2015-12-20",2015,2999547,1610612743,400828296,2,0,0,0,"Jump Shot","3PT Field Goal",29.9,"New Orleans Pelicans",0,531,2,2.1,"Gee, Alonzo",4.2,0
"Will Barton","Denver Nuggets","2015-12-20",2015,6579,1610612743,400828296,2,9,57,1,"Jump Shot","3PT Field Goal",23.6,"New Orleans Pelicans",114,234,1,1.7,"Holiday, Jrue",5.2,7.7
"Mike Conley","Memphis Grizzlies","2015-12-09",2015,3195,1610612763,400828209,2,0,1,0,"Jump Shot","3PT Field Goal",39.5,"Detroit Pistons",-81,380,3,2.9,"Jackson, Reggie",6.3,0
"Jrue Holiday","New Orleans Pelicans","2015-12-20",2015,3995,1610612740,400828296,2,11,6,1,"Jump Shot","3PT Field Goal",24.7,"Denver Nuggets",182,169,5,4.5,"Papanikolaou, Kostas",6.2,15.5
"Al Horford","Atlanta Hawks","2015-12-20",2015,3213,1610612737,400828294,2,0,0,0,"Jump Shot","3PT Field Goal",24.9,"Orlando Magic",-17,257,1,2.5,"Vucevic, Nikola",2.5,0
"Will Barton","Denver Nuggets","2015-12-20",2015,6579,1610612743,400828296,4,7,50,1,"Jump Shot","3PT Field Goal",25.6,"New Orleans Pelicans",-186,180,0,0.8,"Evans, Tyreke",3.8,12.9
"Ryan Anderson","New Orleans Pelicans","2015-12-20",2015,3412,1610612740,400828296,2,7,28,1,"Jump Shot","3PT Field Goal",25.5,"Denver Nuggets",191,165,0,1,"Jokic, Nikola",15.3,15.4
"Marcus Morris","Detroit Pistons","2015-12-09",2015,6462,1610612765,400828209,3,11,17,1,"Jump Shot","3PT Field Goal",24.7,"Memphis Grizzlies",69,252,0,0.9,"Green, Jeff",5.5,9.5
"Kyle Korver","Atlanta Hawks","2015-12-20",2015,2011,1610612737,400828294,4,10,14,1,"Jump Shot","3PT Field Goal",23.2,"Orlando Magic",230,47,0,1.1,"Payton, Elfrid",3.5,17.9
"Will Barton","Denver Nuggets","2016-01-23",2015,6579,1610612743,400828548,3,1,46,0,"Jump Shot","3PT Field Goal",22.2,"Detroit Pistons",-233,7,0,0.8,"Caldwell-Pope, Kentavious",2.3,14.7
"Jrue Holiday","New Orleans Pelicans","2015-12-20",2015,3995,1610612740,400828296,4,2,57,1,"Jump Shot","3PT Field Goal",25.5,"Denver Nuggets",158,188,0,0.8,"Nelson, Jameer",7,13
"Jameer Nelson","Denver Nuggets","2015-12-20",2015,2439,1610612743,400828296,2,4,0,1,"Jump Shot","3PT Field Goal",22.7,"New Orleans Pelicans",228,-5,0,1.1,"Evans, Tyreke",5.7,2
"Eric Bledsoe","Phoenix Suns","2015-12-20",2015,4238,1610612756,400828293,4,0,0,0,"Jump Shot","3PT Field Goal",38.5,"Milwaukee Bucks",-34,385,1,1.7,"Carter-Williams, Michael",8.2,10
"Dennis Schroder","Atlanta Hawks","2015-12-20",2015,3032979,1610612737,400828294,2,9,33,0,"Jump Shot","3PT Field Goal",25.3,"Orlando Magic",-40,254,0,0.8,"Oladipo, Victor",5.5,1.9
"Robert Covington","Philadelphia 76ers","2015-12-20",2015,2490620,1610612755,400828292,3,9,41,1,"Jump Shot","3PT Field Goal",27.1,"Cleveland Cavaliers",-192,205,0,0.9,"Smith, J.R.",5,16
"Randy Foye","Denver Nuggets","2015-12-20",2015,3003,1610612743,400828296,2,11,41,1,"Jump Shot","3PT Field Goal",23.8,"New Orleans Pelicans",243,61,1,2.3,"Perkins, Kendrick",6.8,9.5
"DeMarcus Cousins","Sacramento Kings","2015-12-20",2015,4258,1610612758,400828295,1,11,15,1,"Jump Shot","3PT Field Goal",25.4,"Toronto Raptors",-1,257,0,1,"Biyombo, Bismack",6.6,16.1
"Omri Casspi","Sacramento Kings","2015-12-20",2015,3554,1610612758,400828295,4,9,0,1,"Jump Shot","3PT Field Goal",24.2,"Toronto Raptors",232,67,1,1.6,"Patterson, Patrick",4.1,0.1
"Will Barton","Denver Nuggets","2015-12-20",2015,6579,1610612743,400828296,4,6,10,1,"Jump Shot","3PT Field Goal",25.4,"New Orleans Pelicans",156,195,6,6.4,"Cunningham, Dante",3.7,6
"Bojan Bogdanovic","Brooklyn Nets","2015-12-20",2015,3593,1610612751,400828290,3,9,10,1,"Jump Shot","3PT Field Goal",25.3,"Minnesota Timberwolves",173,183,0,0.7,"Wiggins, Andrew",4.5,7
"Matt Barnes","Memphis Grizzlies","2015-12-09",2015,1765,1610612763,400828209,3,4,27,1,"Jump Shot","3PT Field Goal",23.4,"Detroit Pistons",-214,144,0,1.2,"Jackson, Reggie",4.6,16.7
"Omri Casspi","Sacramento Kings","2016-01-13",2015,3554,1610612758,400828472,3,4,54,0,"Jump Shot","3PT Field Goal",25.3,"New Orleans Pelicans",58,242,0,0.8,"Anderson, Ryan",9.1,14.9
"Stanley Johnson","Detroit Pistons","2015-12-12",2015,3134881,1610612765,400828233,4,6,45,0,"Jump Shot","3PT Field Goal",25.3,"Indiana Pacers",-153,213,0,0.9,"Allen, Lavoy",7.5,9.5
"James Harden","Houston Rockets","2015-12-12",2015,3992,1610612745,400828236,4,3,28,0,"Jump Shot","3PT Field Goal",25.9,"Los Angeles Lakers",133,223,11,9.6,"Russell, D'Angelo",4,24
"Jose Calderon","New York Knicks","2015-12-12",2015,2806,1610612752,400828239,3,2,8,0,"Jump Shot","3PT Field Goal",22.5,"Portland Trail Blazers",225,-6,7,10.7,"Harkless, Maurice",3.5,13.6
"Nikola Mirotic","Chicago Bulls","2015-12-12",2015,6459,1610612741,400828235,4,10,47,0,"Jump Shot","3PT Field Goal",27.5,"New Orleans Pelicans",-151,208,0,0.9,"Cunningham, Dante",6.2,4.1
"Stephen Curry","Golden State Warriors","2015-12-12",2015,3975,1610612744,400828238,3,5,49,0,"Jump Shot","3PT Field Goal",24.6,"Milwaukee Bucks",86,257,3,4.2,"Monroe, Greg",5.1,21.2
"PJ Hairston","Charlotte Hornets","2015-12-12",2015,2594816,1610612766,400828232,1,9,51,0,"Jump Shot","3PT Field Goal",24.8,"Boston Celtics",227,51,0,0.8,"Thomas, Isaiah",7.3,19.2
"Kobe Bryant","Los Angeles Lakers","2015-12-12",2015,110,1610612747,400828236,2,2,42,0,"Jump Shot","3PT Field Goal",26.9,"Houston Rockets",200,139,0,0.8,"Ariza, Trevor",4.9,20.6
"Mike Conley","Memphis Grizzlies","2015-12-09",2015,3195,1610612763,400828209,4,2,17,0,"Jump Shot","3PT Field Goal",23.5,"Detroit Pistons",227,80,0,1.3,"Jackson, Reggie",20.4,6.6
"Stephen Curry","Golden State Warriors","2015-12-12",2015,3975,1610612744,400828238,4,6,38,0,"Jump Shot","3PT Field Goal",25.1,"Milwaukee Bucks",60,239,6,5.6,"Antetokounmpo, Giannis",4.2,7
"Garrett Temple","Washington Wizards","2015-12-12",2015,4023,1610612764,400828237,1,6,52,0,"Jump Shot","3PT Field Goal",24.5,"Dallas Mavericks",150,188,0,1,"Nowitzki, Dirk",12.7,17.9
"Jae Crowder","Boston Celtics","2015-12-12",2015,6581,1610612738,400828232,3,2,37,0,"Jump Shot","3PT Field Goal",23.8,"Charlotte Hornets",164,190,0,0.7,"Zeller, Cody",4.5,24
